ADRAIN,ADSOLPW,DTMAX_C,DTMIN_C,DATE
0.6000000000000001,24396.6,28.2,19.1,2019-01-01
0.0,27677.2,30.9,17.8,2019-01-02
0.0,21536.9,30.1,20.2,2019-01-03
7.800000000000001,8292.900000000001,25.3,19.5,2019-01-04
0.0,15369.1,26.3,19.4,2019-01-05
0.0,25874.5,30.4,18.2,2019-01-06
0.0,30501.899999999994,31.2,19.9,2019-01-07
4.0,25638.5,33.4,18.9,2019-01-08
0.2,26599.399999999994,29.4,18.3,2019-01-09
0.0,26307.399999999998,30.1,18.3,2019-01-10
1.4,24685.3,31.0,18.0,2019-01-11
0.0,15761.199999999999,30.1,21.0,2019-01-12
0.0,24255.199999999997,31.1,18.3,2019-01-13
0.2,26136.5,31.7,19.8,2019-01-14
0.0,25965.9,31.6,19.8,2019-01-15
0.0,27668.000000000007,33.4,19.0,2019-01-16
0.0,29785.9,31.7,19.7,2019-01-17
0.0,27881.8,32.2,20.1,2019-01-18
0.2,27953.5,32.5,21.0,2019-01-19
0.0,23929.0,32.6,21.5,2019-01-20
0.0,26090.100000000002,34.2,20.3,2019-01-21
16.4,25081.799999999996,34.2,20.0,2019-01-22
0.4,22762.999999999996,31.6,20.3,2019-01-23
0.0,28683.499999999993,32.8,19.7,2019-01-24
0.8,23163.199999999997,32.1,18.9,2019-01-25
18.599999999999998,6066.599999999999,23.5,17.7,2019-01-26
0.2,26773.7,28.9,17.5,2019-01-27
0.0,29159.1,31.7,17.8,2019-01-28
0.0,25303.199999999997,32.9,18.1,2019-01-29
0.0,26411.499999999996,32.8,18.0,2019-01-30
0.0,28827.200000000004,33.1,18.2,2019-01-31
0.0,28289.4,33.5,18.6,2019-02-01
0.0,27730.999999999996,34.1,19.8,2019-02-02
0.0,29379.700000000004,35.0,20.5,2019-02-03
12.599999999999998,15739.900000000003,28.1,19.0,2019-02-04
0.0,22792.199999999997,31.1,19.3,2019-02-05
24.199999999999992,6794.699999999999,25.6,18.8,2019-02-06
53.99999999999999,17173.800000000003,26.9,17.0,2019-02-07
0.0,23075.600000000002,31.4,18.5,2019-02-08
0.0,22303.600000000006,31.2,18.9,2019-02-09
2.2,16107.800000000001,29.5,20.0,2019-02-10
10.2,23313.800000000003,30.2,19.6,2019-02-11
0.0,22551.699999999997,30.5,19.5,2019-02-12
29.6,8050.299999999999,28.2,19.3,2019-02-13
0.2,12614.800000000001,26.3,18.3,2019-02-14
1.5999999999999999,13782.0,27.0,18.7,2019-02-15
42.00000000000001,4863.3,23.3,20.0,2019-02-16
30.999999999999996,10926.600000000002,25.4,19.6,2019-02-17
3.4000000000000004,15856.599999999999,27.2,20.0,2019-02-18
5.6,21699.8,29.2,19.0,2019-02-19
5.2,20188.5,29.8,17.6,2019-02-20
